0	0
1	0
2	-1
3	-2
4	-3
5	-4
6	-5
7	-6
8	-7
9	-8
10	-9
11	-10
12	-11
13	-12
14	-13
15	-14
16	-15
17	-16
18	-17
19	-18
20	-19
21	-20
22	-21
23	-22
24	-23
25	-24
26	-25
27	-26
28	-27
29	-28
30	-29
31	-30
32	-31
33	-32
34	-33
35	-34
36	-35
37	-36
38	-37
39	-38
40	-39
41	-40
42	-41
43	-42
44	-43
45	-44
46	-45
47	-46
48	-47
49	-48
50	-49
50	-50
49	-51
48	-51
47	-51
46	-51
45	-51
44	-51
43	-51
42	-51
41	-51
40	-51
39	-51
38	-51
37	-51
36	-51
35	-51
34	-51
33	-51
32	-51
31	-51
30	-51
29	-51
28	-51
27	-51
26	-51
25	-51
24	-51
23	-51
22	-51
21	-51
20	-51
19	-51
18	-51
17	-51
16	-51
15	-51
14	-51
13	-51
12	-51
11	-51
10	-51
9	-51
8	-51
7	-51
6	-51
5	-51
4	-51
3	-51
2	-51
1	-51
0	-52
0	-53
0	-54
0	-55
0	-56
0	-57
0	-58
0	-59
0	-60
0	-61
0	-62
0	-63
0	-64
0	-65
0	-66
0	-67
0	-68
0	-69
0	-70
0	-71
0	-72
0	-73
0	-74
0	-75
0	-76
0	-77
0	-78
0	-79
0	-80
0	-81
0	-82
0	-83
0	-84
0	-85
0	-86
0	-87
0	-88
0	-89
0	-90
0	-91
0	-92
0	-93
0	-94
0	-95
0	-96
0	-97
0	-98
0	-99
0	-100
